faction_id,faction_name,faction_type,start_year,end_year,description,notes,source_url
fac_business_finance,Business and finance establishment,socioeconomic_network,1945,,"Elite business, banking, corporate and donor networks with policy access.",Non-state power-network layer.,https://www.cfr.org/support-cfr/the-david-rockefeller-lecture-series
fac_cfr_trilateral,CFR / Trilateral Commission network,ngo_think_tank_network,1921,,Non-state policy network around CFR and later Trilateral Commission; captures documented affiliations where available.,"CFR and Trilateral are public/private organizations, not state offices.",https://www.cfr.org/celebrating-a-century/timeline
fac_congressional_leadership,Congressional leadership establishment,institutional_network,1789,,"Speakers, majority/minority leaders, and other congressional power nodes.",Cross-party institutional leadership layer.,https://www.senate.gov/senators/leadership.htm
fac_democratic_party,Democratic Party elected coalition,party,1828,,Formal U.S. party coalition; interval membership based on officeholding/party label.,Not a hidden network.,https://www.whitehouse.gov/about-the-white-house/presidents/
fac_federal_reserve,Federal Reserve / monetary-policy establishment,institutional_network,1913,,Central-bank leadership and monetary-policy elite network.,Institutional; not a hidden faction.,https://www.federalreservehistory.org/people/federal-reserve-chair
fac_globalists,Globalists / foreign-policy internationalists (analytical label),ideological_network,1945,,"Analytical label for elites favoring alliances, multilateral institutions, global economic integration or transnational policy forums.",Use cautiously; label is interpretive and should be tested against explicit evidence.,https://2001-2009.state.gov/r/pa/ho/time/qfp/103525.htm
fac_intelligence_community,Intelligence community leadership,institutional_network,1947,,CIA/FBI/IC leadership and senior intelligence-related roles.,Subset/overlap with national security establishment.,https://www.cia.gov/legacy/museum/artifact/allen-w-dulles/
fac_judicial_establishment,Supreme Court / federal judicial establishment,institutional_network,1789,,Chief justices and Supreme Court leadership layer.,Useful for age/renewal metrics outside elected branches.,https://www.supremecourt.gov/about/members_text.aspx
fac_natsec_establishment,Deep State / national security establishment (analytical proxy),institutional_network,1947,,"Analytical label for continuity networks around NSC, CIA, FBI, Defense and State. It does not assert a single secret command structure.",Use as a measurable proxy for “Deep State” claims: career security bureaucracy + senior national-security principals.,https://history.state.gov/milestones/1945-1952/truman-doctrine
fac_neoconservatives,Neoconservative / interventionist hawks,ideological_network,1970,,"Policy current favoring U.S. primacy and interventionist foreign policy, especially post-Cold War and post-9/11.",Interval and membership are approximate and should be refined.,https://history.state.gov/milestones/2001-2009/iraq
fac_populist_nationalists,Populist nationalists / America First,ideological_network,2015,,"Political current organized around Trump-era nationalism, immigration restriction and skepticism toward parts of the administrative/natsec establishment.",Useful counter-faction to natsec/globalist labels.,https://www.whitehouse.gov/administration/donald-j-trump/
fac_republican_party,Republican Party elected coalition,party,1854,,Formal U.S. party coalition; interval membership based on officeholding/party label.,Not a hidden network.,https://www.whitehouse.gov/about-the-white-house/presidents/
fac_technocratic_centrist,Technocratic centrist / managerial elite,ideological_network,1945,,"Policy makers associated with expert-led administration, macroeconomic management, and bureaucratic continuity.",Interpretive proxy; refine with explicit affiliation evidence.,https://www.federalreservehistory.org/people/federal-reserve-chair
