source_faction_id,target_faction_id,start_year,end_year,relation_type,intensity,confidence,notes
yeltsin_family,liberal_economists,1994,2000,coalition,0.75,0.75,Reform/administration coalition in late Yeltsin period
yeltsin_family,oligarchic_business_1990s,1994,2000,coalition,0.85,0.75,Business-political influence in late Yeltsin period
siloviki,liberal_economists,2003,,rivalry_or_tension,0.65,0.55,Public-analysis hypothesis: state control/security logic vs market-liberal reform logic
siloviki,technocrats,2012,,managed_tension,0.5,0.55,Technocratic management under security-dominant strategic priorities
st_petersburg_network,siloviki,1999,,overlap,0.7,0.7,Many top actors overlap through St Petersburg and security backgrounds
st_petersburg_network,energy_state_corporations,2001,,overlap,0.7,0.65,St Petersburg-linked corporate and state-company networks
political_managers,regional_mayoral_elites,2000,,control_and_recruitment,0.7,0.7,Centralized management of governors and regional politics
central_leader,siloviki,2000,,arbitration_and_reliance,0.8,0.7,Leader as arbiter; security bloc as key pillar
central_leader,technocrats,2000,,delegated_execution,0.75,0.7,Technocrats as implementation and macro-management layer
central_leader,energy_state_corporations,2004,,strategic_resource_control,0.75,0.65,State-corporate resource politics
foreign_policy,siloviki,2014,,strategic_alignment,0.65,0.6,Post-2014 security/foreign policy alignment hypothesis
military_defense,technocrats,2024,,integration,0.55,0.6,Defense management with technocratic budget/industrial logic after 2024 appointment
imp_bureaucratic_reformers,imp_conservative_bureaucracy,1801,1917,rivalry_and_overlap,0.65,0.65,Recurring reform vs order tension; many figures overlap.
imp_dynastic_court,imp_court_favorites,1801,1917,access_channel,0.75,0.7,Personal access as a recurring mechanism.
imp_security_police,imp_bureaucratic_reformers,1826,1917,managed_tension,0.55,0.6,Security control often constrains reform.
imp_finance_modernizers,imp_bureaucratic_reformers,1860,1917,overlap,0.65,0.7,Fiscal modernization and administrative reform often aligned.
imp_church_synod,imp_conservative_bureaucracy,1880,1905,ideological_alignment,0.8,0.75,Pobedonostsev-era conservative alignment.
rev_bolshevik_center,rev_left_communists,1918,1921,intra_party_rivalry,0.7,0.7,Brest-Litovsk and economic strategy conflicts.
rev_bolshevik_center,rev_trotsky_military,1918,1924,coalition_and_tension,0.65,0.65,Civil War coalition with later rivalry.
rev_party_org_apparatus,rev_trotsky_military,1922,1927,rivalry,0.85,0.75,Post-Lenin succession conflict.
stalin_inner_circle,stalin_security_apparatus,1934,1953,control_and_reliance,0.9,0.8,Security apparatus as coercive pillar.
stalin_party_apparatus,stalin_security_apparatus,1934,1953,fear_and_control,0.85,0.75,Purges and party-security relation.
stalin_economic_planners,stalin_industrial_modernizers,1928,1953,overlap,0.8,0.8,Planning and industrialization overlap.
poststalin_collective_leadership,khrushchev_group,1953,1957,succession_rivalry,0.8,0.8,Power struggle after Stalin.
poststalin_military_command,khrushchev_group,1953,1957,temporary_alliance,0.7,0.7,Zhukov support in anti-party group episode.
poststalin_security_apparatus,poststalin_collective_leadership,1953,1964,subordination_after_beria,0.7,0.65,Security apparatus reined in after Beria.
brezhnev_inner_circle,dnipropetrovsk_network,1964,1982,overlap,0.75,0.7,Personal/regional network around Brezhnev.
lateussr_party_apparatus,lateussr_kgb_security,1967,1985,managed_tension,0.55,0.6,Party-KGB relation; Andropov's role.
lateussr_military_industrial,lateussr_economic_admins,1964,1985,resource_tension,0.55,0.55,Defense burden vs economic management.
perestroika_gorbachev_reformers,perestroika_party_conservatives,1985,1991,rivalry,0.9,0.85,Core conflict of perestroika.
perestroika_union_center,perestroika_republican_elites,1988,1991,sovereignty_conflict,0.9,0.85,Union center vs republican sovereignty.
perestroika_security_apparatus,perestroika_gorbachev_reformers,1988,1991,tension,0.75,0.7,Security apparatus vs reform trajectory.
perestroika_new_thinking_foreign_policy,perestroika_party_conservatives,1985,1991,ideological_rivalry,0.65,0.65,New foreign policy vs conservative skepticism.
