event_id,date,event_name,event_type,severity,decision_direction,notes,elite_initiated,initiator_type,initiator_person_id,initiator_group,confidence,decision_domain,event_scope,year,dominant_faction_id,fragmentation_index,top_3_factions
war_1812,1812-06-24,Отечественная война 1812 года,war,5,defensive_war,,False,,,,,,,1812,imp_dynastic_court,0.0,imp_dynastic_court
decembrist_revolt,1825-12-26,Восстание декабристов,revolt,4,elite_crisis,,False,,,,,,,1825,imp_dynastic_court,0.814,"imp_dynastic_court, imp_conservative_bureaucracy, imp_military_aristocracy"
crimean_war,1853-10-16,Крымская война,war,5,foreign_policy,,False,,,,,,,1853,imp_dynastic_court,0.4366,"imp_dynastic_court, imp_foreign_policy_chancery"
serfdom_abolition,1861-03-03,Отмена крепостного права,reform,5,liberalization,,False,,,,,,,1861,imp_dynastic_court,0.4508,"imp_dynastic_court, imp_foreign_policy_chancery"
revolution_1905,1905-01-22,Революция 1905 года,revolution,5,regime_crisis,,False,,,,,,,1905,imp_dynastic_court,0.6184,"imp_dynastic_court, imp_church_synod, imp_conservative_bureaucracy"
ww1,1914-08-01,Первая мировая война,war,5,foreign_policy,,False,,,,,,,1914,imp_dynastic_court,0.2378,"imp_dynastic_court, imp_court_favorites"
february_revolution,1917-03-08,Февральская революция,revolution,5,regime_collapse,,False,,,,,,,1917,imp_zemstvo_liberal,0.0,imp_zemstvo_liberal
october_revolution,1917-11-07,Октябрьская революция,revolution,5,regime_change,,False,,,,,,,1917,imp_zemstvo_liberal,0.0,imp_zemstvo_liberal
great_terror,1937-07-30,Большой террор,repression,5,repression,,False,,,,,,,1937,stalin_inner_circle,0.727,"stalin_inner_circle, stalin_party_apparatus, rev_old_bolsheviks"
ww2_ussr,1941-06-22,Великая Отечественная война,war,5,defensive_war,,False,,,,,,,1941,stalin_inner_circle,0.6562,"stalin_inner_circle, stalin_party_apparatus, stalin_security_apparatus"
twentieth_congress,1956-02-25,XX съезд КПСС,reform,4,de_stalinization,,False,,,,,,,1956,poststalin_collective_leadership,0.6094,"poststalin_collective_leadership, khrushchev_group, poststalin_ideological_apparatus"
afghan_war,1979-12-24,Ввод войск в Афганистан,war,5,foreign_policy,,False,,,,,,,1979,lateussr_party_apparatus,0.7467,"lateussr_party_apparatus, brezhnev_inner_circle, dnipropetrovsk_network"
gorbachev_power,1985-03-11,Горбачёв становится генсеком,leadership_change,4,renewal,,False,,,,,,,1985,lateussr_party_apparatus,0.7717,"lateussr_party_apparatus, perestroika_gorbachev_reformers, perestroika_union_center"
ussr_collapse,1991-12-26,Распад СССР,state_collapse,5,regime_collapse,,False,,,,,,,1991,perestroika_gorbachev_reformers,0.6391,"perestroika_gorbachev_reformers, perestroika_union_center, perestroika_security_apparatus"
default_1998,1998-08-17,Дефолт 1998 года,economic_crisis,4,economic,,False,,,,,,,1998,technocrats,0.0,technocrats
georgia_war_2008,2008-08-08,Война в Грузии,war,4,foreign_policy,,False,,,,,,,2008,siloviki,0.8775,"siloviki, st_petersburg_network, fsb_security"
crimea_2014,2014-03-18,Аннексия Крыма,territorial_change,5,foreign_policy,,False,,,,,,,2014,siloviki,0.8319,"siloviki, central_leader, st_petersburg_network"
ukraine_2022,2022-02-24,Полномасштабное вторжение в Украину,war,5,foreign_policy,,False,,,,,,,2022,siloviki,0.8514,"siloviki, technocrats, central_leader"
emp_1802_ministries_reform,1802-09-20,Учреждение министерств Александром I,administrative_reform,4,state_modernization,Creation of ministries replacing collegia; date OS/NS issues possible.,True,ruler_government,alexander_i,imp_bureaucratic_reformers,0.9,administration,state,1802,imp_dynastic_court,0.3161,"imp_dynastic_court, imp_bureaucratic_reformers"
emp_1803_free_cultivators,1803-02-20,Указ о вольных хлебопашцах,social_reform,3,limited_liberalization,Limited reform allowing landowners to free serfs with land by agreement.,True,ruler,alexander_i,imp_bureaucratic_reformers,0.85,social_policy,state,1803,imp_dynastic_court,0.3502,"imp_dynastic_court, imp_bureaucratic_reformers"
emp_1810_state_council,1810-01-13,Учреждение Государственного совета,institutional_reform,4,state_modernization,Speransky-linked institutional reform.,True,ruler_advisor,alexander_i,imp_bureaucratic_reformers,0.9,administration,state,1810,imp_dynastic_court,0.4508,"imp_dynastic_court, imp_bureaucratic_reformers"
emp_1816_military_settlements,1816-01-01,Развёртывание военных поселений,military_social_policy,4,militarization_control,Approximate start year; associated with Arakcheev system.,True,ruler_advisor,alexander_i,imp_military_aristocracy,0.75,military,state,1816,imp_dynastic_court,0.7129,"imp_dynastic_court, imp_military_aristocracy, imp_court_favorites"
emp_1826_third_section,1826-07-15,Создание Третьего отделения,security_reform,5,repression_control,Post-Decembrist security institutionalization.,True,ruler,nicholas_i,imp_security_police,0.95,security,state,1826,imp_dynastic_court,0.7004,"imp_dynastic_court, imp_foreign_policy_chancery, imp_finance_modernizers"
emp_1830_polish_suppression,1830-11-29,Подавление Польского восстания 1830–1831,repression_military,5,imperial_control,Imperial response and military suppression; uprising itself not elite-initiated by Russian center.,True,ruler_military,nicholas_i,imp_military_aristocracy,0.8,security_military,imperial,1830,imp_dynastic_court,0.801,"imp_dynastic_court, imp_foreign_policy_chancery, imp_security_police"
emp_1839_kankrin_reform_start,1839-07-01,Начало денежной реформы Канкрина,economic_reform,4,financial_stabilization,Approximate month; 1839-1843 silver ruble reform.,True,government_minister,kankrin,imp_finance_modernizers,0.85,finance,state,1839,imp_dynastic_court,0.801,"imp_dynastic_court, imp_foreign_policy_chancery, imp_security_police"
emp_1848_hungarian_intervention,1849-06-01,Интервенция России в Венгрию,military_intervention,4,conservative_intervention,Approximate date for Russian intervention in 1849.,True,ruler,nicholas_i,imp_military_aristocracy,0.8,foreign_policy_military,international,1849,imp_dynastic_court,0.4366,"imp_dynastic_court, imp_foreign_policy_chancery"
emp_1853_crimean_war_initiation,1853-10-16,Начало Крымской войны,war,5,foreign_policy,Complex causality; coded as elite/ruler initiated escalation by Russian side.,True,ruler_government,nicholas_i,imp_foreign_policy_chancery,0.7,foreign_policy_military,international,1853,imp_dynastic_court,0.4366,"imp_dynastic_court, imp_foreign_policy_chancery"
emp_1861_serfdom_abolition,1861-03-03,Отмена крепостного права,social_reform,5,liberalization,Major elite-initiated reform from above.,True,ruler_government,alexander_ii,imp_bureaucratic_reformers,0.95,social_policy,state,1861,imp_dynastic_court,0.4508,"imp_dynastic_court, imp_foreign_policy_chancery"
emp_1863_polish_suppression,1863-01-22,Подавление Январского восстания,repression_military,5,imperial_control,Uprising not initiated by Russian elite; suppression was.,True,ruler_government,alexander_ii,imp_security_police,0.8,security_military,imperial,1863,imp_dynastic_court,0.6207,"imp_dynastic_court, imp_foreign_policy_chancery, imp_finance_modernizers"
emp_1864_zemstvo_reform,1864-01-01,Земская реформа,institutional_reform,4,local_self_government,Year-level date.,True,ruler_government,alexander_ii,imp_bureaucratic_reformers,0.95,administration,state,1864,imp_dynastic_court,0.6207,"imp_dynastic_court, imp_foreign_policy_chancery, imp_finance_modernizers"
emp_1864_judicial_reform,1864-11-20,Судебная реформа Александра II,legal_reform,5,liberalization_rule_of_law,Major legal reform.,True,ruler_government,alexander_ii,imp_bureaucratic_reformers,0.95,law,state,1864,imp_dynastic_court,0.6207,"imp_dynastic_court, imp_foreign_policy_chancery, imp_finance_modernizers"
emp_1870_city_reform,1870-06-16,Городская реформа,institutional_reform,3,local_self_government,Municipal reform.,True,ruler_government,alexander_ii,imp_bureaucratic_reformers,0.9,administration,state,1870,imp_dynastic_court,0.6207,"imp_dynastic_court, imp_foreign_policy_chancery, imp_finance_modernizers"
emp_1874_military_reform_conscription,1874-01-13,Воинская реформа и всеобщая воинская повинность,military_reform,5,military_modernization,Dmitry Milyutin reform.,True,ruler_minister,alexander_ii,imp_military_aristocracy,0.95,military,state,1874,imp_dynastic_court,0.6207,"imp_dynastic_court, imp_foreign_policy_chancery, imp_finance_modernizers"
emp_1877_russo_turkish_war,1877-04-24,Русско-турецкая война 1877–1878,war,5,foreign_policy_military,Elite-initiated war decision; wider Balkan crisis context.,True,ruler_government,alexander_ii,imp_foreign_policy_chancery,0.8,foreign_policy_military,international,1877,imp_dynastic_court,0.6207,"imp_dynastic_court, imp_foreign_policy_chancery, imp_finance_modernizers"
emp_1881_counter_reforms_start,1881-08-14,Положение о мерах к охранению государственного порядка,security_reform,5,repression_control,Start of counter-reform/security regime after Alexander II assassination.,True,ruler_government,alexander_iii,imp_conservative_bureaucracy,0.95,security,state,1881,imp_dynastic_court,0.718,"imp_dynastic_court, imp_foreign_policy_chancery, imp_church_synod"
emp_1881_peasant_land_bank,1882-05-18,Создание Крестьянского поземельного банка,economic_social_policy,3,agrarian_policy,Elite-initiated agrarian credit policy.,True,government,alexander_iii,imp_finance_modernizers,0.75,finance_social,state,1882,imp_dynastic_court,0.6184,"imp_dynastic_court, imp_church_synod, imp_conservative_bureaucracy"
emp_1884_university_statute,1884-08-23,Университетский устав 1884 года,education_policy,4,conservative_control,Restriction of university autonomy.,True,ruler_government,alexander_iii,imp_conservative_bureaucracy,0.9,education_ideology,state,1884,imp_dynastic_court,0.6184,"imp_dynastic_court, imp_church_synod, imp_conservative_bureaucracy"
emp_1891_trans_siberian_start,1891-05-31,Начало строительства Транссибирской магистрали,infrastructure_modernization,5,state_modernization,Strategic infrastructure project.,True,ruler_government,alexander_iii,imp_finance_modernizers,0.9,infrastructure,state,1891,imp_dynastic_court,0.6184,"imp_dynastic_court, imp_church_synod, imp_conservative_bureaucracy"
emp_1897_gold_standard,1897-01-03,Денежная реформа Витте: золотой стандарт,economic_reform,5,financial_modernization,Major financial reform.,True,minister_government,witte,imp_finance_modernizers,0.95,finance,state,1897,imp_dynastic_court,0.718,"imp_dynastic_court, imp_finance_modernizers, imp_church_synod"
emp_1904_russo_japanese_war,1904-02-08,Русско-японская война,war,5,foreign_policy_military,Complex escalation; coded as elite decision context.,True,ruler_elite,nicholas_ii,imp_foreign_policy_chancery,0.75,foreign_policy_military,international,1904,imp_dynastic_court,0.6184,"imp_dynastic_court, imp_church_synod, imp_conservative_bureaucracy"
emp_1905_october_manifesto,1905-10-30,Манифест 17 октября,constitutional_change,5,limited_liberalization,Issued under revolutionary pressure but initiated by ruler/government as response.,True,ruler_government,nicholas_ii,imp_bureaucratic_reformers,0.9,constitutional,state,1905,imp_dynastic_court,0.6184,"imp_dynastic_court, imp_church_synod, imp_conservative_bureaucracy"
emp_1906_duma_creation,1906-04-27,Открытие Первой Государственной думы,institutional_reform,5,constitutional_limited,Institutional change after 1905.,True,ruler_government,nicholas_ii,imp_bureaucratic_reformers,0.85,constitutional,state,1906,imp_dynastic_court,0.0,imp_dynastic_court
emp_1906_fundamental_laws,1906-04-23,Основные государственные законы 1906 года,constitutional_change,5,autocracy_preservation,Defined limited constitutional order while preserving autocracy.,True,ruler_government,nicholas_ii,imp_conservative_bureaucracy,0.9,constitutional,state,1906,imp_dynastic_court,0.0,imp_dynastic_court
emp_1906_stolypin_agrarian_reform,1906-11-09,Начало столыпинской аграрной реформы,agrarian_reform,5,agrarian_modernization,Decree initiating individual land ownership reforms.,True,prime_minister,stolypin,imp_bureaucratic_reformers,0.95,agrarian_policy,state,1906,imp_dynastic_court,0.0,imp_dynastic_court
emp_1907_june_coup,1907-06-16,Третьеиюньский переворот,constitutional_change,5,elite_control,Change of electoral law and political architecture.,True,ruler_prime_minister,nicholas_ii,imp_conservative_bureaucracy,0.9,constitutional,state,1907,imp_dynastic_court,0.723,"imp_dynastic_court, imp_bureaucratic_reformers, imp_security_police"
emp_1914_ww1_entry,1914-08-01,Вступление России в Первую мировую войну,war,5,foreign_policy_military,Mobilization/war decision by imperial elite in wider crisis.,True,ruler_government,nicholas_ii,imp_foreign_policy_chancery,0.75,foreign_policy_military,international,1914,imp_dynastic_court,0.2378,"imp_dynastic_court, imp_court_favorites"
emp_1915_nicholas_commander_in_chief,1915-09-05,Николай II принимает верховное командование,military_command_decision,4,personalization_of_command,Ruler-initiated command decision.,True,ruler,nicholas_ii,imp_dynastic_court,0.95,military,state,1915,imp_dynastic_court,0.2378,"imp_dynastic_court, imp_court_favorites"
